#,Name,Team,ESPN,Y!,$,G,GS,QS,TBF,IP,W,L,SV,HLD,H,ER,K,BB,HBP,HR,ERA,SIERA,WHIP,GB%,LD%,FB%,BABIP,Own%,RazzID
336,Jordan Hicks,CHW,RP,RP,-10.4,51,0,0,222,51.2,2,3,0,8,48,23,47,24,3,5,3.95,4.16,1.42,49,20,31,0.302,0,663855
337,Brendon Little,TOR,RP,RP,-10.5,41,0,0,160,36.9,2,2,0,9,32,14,41,21,2,3,3.44,3.88,1.45,54,20,26,0.310,0,663893
338,Lake Bachar,MIA,RP,RP,-10.5,45,0,0,173,40.3,2,2,0,4,36,19,40,18,2,5,4.13,4.25,1.33,38,21,41,0.281,0,669199
339,Cole Henry,WSH,RP,RP,-10.5,41,0,0,182,40.7,2,2,1,4,38,21,38,22,3,6,4.70,4.97,1.48,37,21,42,0.288,0,669371
340,Zack Kelly,BOS,RP,RP,-10.5,45,0,0,194,44.8,2,2,0,7,41,20,43,21,2,5,4.02,4.35,1.38,42,20,38,0.293,0,677161
341,Evan Sisk,PIT,RP,RP,-10.5,45,0,0,171,40.1,2,2,0,5,37,16,39,19,2,3,3.58,4.03,1.39,50,21,29,0.314,0,681895
342,Dylan Dodd,ATL,RP,RP,-10.5,36,0,0,150,35.9,2,2,0,4,34,15,32,10,1,4,3.76,3.81,1.23,42,20,38,0.288,0,689266
343,Evan Phillips,LAD,RP,RP,-10.6,30,0,0,112,26.9,2,1,0,7,22,10,30,9,1,3,3.43,3.27,1.17,41,20,39,0.277,0,623465
344,Michael Petersen,MIA,RP,RP,-10.6,45,0,0,193,44.8,2,2,0,9,42,22,42,18,2,6,4.35,4.45,1.35,36,21,43,0.286,0,656848
345,Grant Wolfram,BAL,RP,RP,-10.6,45,0,0,172,40.3,2,2,0,10,40,17,38,17,2,5,3.81,4.31,1.40,45,21,34,0.315,0,664991
346,Mason Englert,TB,RP,RP,-10.6,41,0,0,175,41.1,2,2,0,4,40,19,38,14,2,6,4.18,4.16,1.31,40,20,40,0.287,0,669438
347,John Schreiber,KC,RP,RP,-10.6,51,0,0,199,46.1,2,2,0,10,44,21,40,20,2,6,4.09,4.43,1.38,42,20,38,0.292,0,670167
