#,Name,Team,ESPN,Y!,$,G,PA,AB,R,HR,RBI,SB,CS,H,1B,2B,3B,TB,SO,BB,HBP,AVG,OBP,SLG,OPS,Own%,RazzID
440,Will Brennan,SF,OF,OF,-29.9,48,115,107,12,2,12,2,1,28,20,6,1,40,17,6,1,0.263,0.306,0.378,0.684,0,686823
441,Tanner Murray,CHW,SS,SS,-29.9,54,147,136,14,3,15,1,0,31,21,7,0,48,36,8,2,0.227,0.274,0.349,0.622,0,695020
442,Will Wagner,SD,3B,1B/3B,-30.0,46,122,107,14,2,12,1,0,27,20,6,0,39,22,13,1,0.255,0.335,0.365,0.700,0,695238
443,Alan Roden,MIN,OF,OF,-30.0,39,108,94,13,2,11,2,1,24,16,5,0,36,21,11,2,0.250,0.335,0.382,0.717,0,702176
444,Tyler Tolbert,KC,OF,SS/OF,-30.1,39,97,89,10,1,9,8,2,20,15,4,0,29,24,6,1,0.228,0.282,0.321,0.603,0,686475
445,Jett Williams,MIL,SS,SS,-30.1,45,126,111,14,2,12,4,1,24,16,5,1,38,33,13,1,0.216,0.301,0.343,0.644,0,702518
446,Bryce Johnson,SD,OF,OF,-30.2,50,125,111,13,2,11,5,1,25,18,5,0,35,35,10,2,0.223,0.296,0.315,0.611,0,669369
447,Braden Montgomery,CHW,OF,OF,-30.2,45,127,114,14,3,13,2,1,26,17,5,1,41,37,11,1,0.226,0.296,0.360,0.656,0,695731
448,Dylan Moore,FA,2B/OF,1B/2B/ SS/3B/OF,-30.3,42,96,83,11,2,9,5,1,17,10,4,0,28,28,10,2,0.202,0.299,0.342,0.641,0,664238
449,Nick Allen,HOU,SS,SS,-30.4,53,131,118,14,1,11,3,1,28,21,5,0,38,26,11,1,0.235,0.301,0.319,0.621,0,669397
450,Robert Hassell III,WSH,OF,OF,-30.4,44,123,112,13,2,12,3,1,26,19,5,0,38,31,9,1,0.235,0.293,0.339,0.632,0,690987
