#,Name,Team,ESPN,Y!,$,G,PA,AB,R,HR,RBI,SB,CS,H,1B,2B,3B,TB,SO,BB,HBP,AVG,OBP,SLG,OPS,Own%,RazzID
692,Trey Mancini,LAA,1B,1B,-37.7,15,34,31,4,1,4,0,0,7,5,1,0,11,10,3,0,0.222,0.287,0.361,0.648,0,15149
693,Garrett Stubbs,PHI,DH,C,-37.7,33,75,67,8,2,7,1,0,15,10,3,0,22,18,7,1,0.220,0.296,0.331,0.627,0,596117
694,Jason Vosler,FA,1B,1B,-37.7,13,31,28,3,1,3,0,0,7,4,1,0,11,8,2,0,0.228,0.284,0.378,0.662,0,613564
695,Sandro Fabian,FA,OF,OF,-37.7,13,31,29,3,1,3,0,0,7,4,1,0,11,6,2,0,0.234,0.276,0.377,0.652,0,660758
696,Justin Foscue,TEX,1B,1B,-37.7,14,33,29,4,1,3,0,0,7,4,2,0,11,6,3,0,0.225,0.308,0.364,0.671,0,679822
697,Niko Kavadas,LAA,1B,1B,-37.7,15,34,29,4,1,4,0,0,6,3,1,0,11,13,4,1,0.197,0.306,0.366,0.671,0,694359
698,RJ Schreck,TOR,OF,OF,-37.7,15,35,30,4,1,4,0,0,6,4,1,0,11,9,4,1,0.209,0.313,0.351,0.664,0,702302
699,Kevin Kiermaier,FA,OF,OF,-37.8,13,30,27,3,1,3,1,0,6,4,1,0,10,8,2,0,0.224,0.280,0.348,0.628,0,11038
700,David Dahl,FA,OF,OF,-37.8,13,30,27,3,1,3,0,0,6,4,1,0,10,8,2,0,0.229,0.286,0.369,0.655,0,13744
701,Tyler Nevin,FA,1B/3B/OF,1B/3B/OF,-37.8,7,15,13,2,0,2,0,0,3,2,1,0,5,3,1,0,0.248,0.319,0.399,0.718,0,663527
702,LaMonte Wade Jr.,CHW,1B/OF,1B/OF,-37.8,8,18,15,2,1,2,0,0,3,2,1,0,5,4,3,0,0.222,0.334,0.360,0.694,0,664774
703,Bryan Ramos,BAL,3B,3B,-37.8,15,35,32,4,1,3,1,0,7,4,1,0,11,9,3,1,0.208,0.277,0.334,0.611,0,682868
704,Gio Urshela,FA,3B,1B/3B,-37.9,12,30,28,3,1,3,0,0,7,5,1,0,10,6,2,0,0.255,0.305,0.368,0.673,0,10681
705,Joey Gallo,FA,1B,1B,-37.9,13,30,25,4,1,3,0,0,5,3,1,0,9,11,4,0,0.182,0.299,0.364,0.663,0,14128
706,Connor Kaiser,KC,2B,2B,-37.9,21,49,43,5,1,4,1,0,8,6,2,0,13,15,5,1,0.192,0.275,0.291,0.566,0,663731
707,Jax Biggers,HOU,2B,2B,-37.9,21,50,44,5,0,4,1,0,9,6,2,0,12,14,6,0,0.198,0.289,0.276,0.566,0,680890
708,Elijah Dunham,LAA,OF,OF,-37.9,15,35,31,4,1,3,1,0,6,4,1,0,10,11,3,0,0.198,0.275,0.329,0.605,0,685313
709,Jared Serna,MIA,SS,SS,-37.9,15,35,32,4,1,3,1,0,7,5,1,0,10,6,3,0,0.223,0.286,0.317,0.603,0,691858
710,Kyler Fedko,MIN,OF,OF,-37.9,11,26,23,3,1,3,1,0,5,3,1,0,8,7,3,0,0.216,0.296,0.360,0.656,0,693459
711,Ben Cowles,FA,SS,SS,-37.9,16,38,35,4,1,3,1,0,8,5,2,0,11,11,3,1,0.215,0.274,0.320,0.594,0,701496
712,Yolmer Sanchez,LAA,OF,OF,-38.0,21,51,45,5,1,4,1,0,9,6,2,0,13,14,5,1,0.196,0.286,0.282,0.568,0,11602
713,Trei Cruz,DET,SS,SS,-38.0,16,38,33,4,1,3,1,0,7,5,2,0,10,10,5,0,0.208,0.304,0.313,0.617,0,669360
714,Davis Wendzel,PIT,3B,3B,-38.0,16,38,34,4,1,4,0,0,7,5,1,0,11,9,3,1,0.205,0.282,0.329,0.611,0,673995
715,Junior Franco,ARI,OF,OF,-38.0,11,26,24,3,1,3,1,0,6,4,1,0,9,6,2,0,0.245,0.301,0.363,0.664,0,691285
716,Mike Sirota,LAD,OF,OF,-38.0,11,26,23,3,1,3,0,0,5,3,1,0,9,7,3,0,0.218,0.306,0.377,0.683,0,701527
717,John Peck,DET,SS,SS,-38.0,11,26,24,3,1,3,1,0,6,4,1,0,8,7,1,0,0.237,0.281,0.347,0.628,0,807726
718,Tim Anderson,FA,2B,2B,-38.1,13,31,29,3,0,3,1,0,7,6,1,0,9,8,1,0,0.241,0.280,0.315,0.594,0,15172
719,Justin Dean,CHC,OF,OF,-38.1,15,34,30,3,0,3,1,0,6,5,1,0,9,11,3,0,0.202,0.284,0.287,0.571,0,681909
720,Brett Squires,KC,1B,1B,-38.1,11,26,24,3,1,3,1,0,5,4,1,0,9,8,2,0,0.231,0.293,0.361,0.654,0,689531
721,Brock Wilken,MIL,3B,3B,-38.1,15,35,30,4,1,3,0,0,6,3,1,0,10,11,4,0,0.187,0.290,0.333,0.623,0,694385
722,Carson Roccaforte,KC,OF,OF,-38.1,11,26,23,3,1,3,1,0,5,3,1,0,8,8,3,0,0.214,0.296,0.349,0.644,0,811287
723,Angel Ortiz,ARI,OF,OF,-38.3,11,26,24,3,1,3,0,0,6,4,1,0,9,6,2,0,0.237,0.292,0.360,0.652,0,691292
724,Cristofer Torin,ARI,SS,SS,-38.3,11,27,24,3,0,2,0,0,6,4,1,0,8,5,3,0,0.242,0.316,0.332,0.647,0,800198
725,Charlie Szykowny,SF,3B,3B,-38.3,11,26,24,3,1,3,0,0,6,4,1,0,9,6,1,1,0.236,0.284,0.362,0.646,0,805126
726,Ryan Galanie,CHW,1B,1B,-38.3,11,26,24,3,1,3,0,0,5,4,1,0,9,6,2,0,0.226,0.283,0.357,0.640,0,814436
727,Mikey Romero,BOS,SS,SS,-38.4,11,27,25,3,1,3,0,0,6,4,2,0,9,7,1,0,0.224,0.269,0.357,0.625,0,702540
728,Zach Remillard,FA,2B,2B,-38.5,13,30,27,3,0,3,1,0,6,4,1,0,8,8,2,0,0.212,0.281,0.299,0.580,0,621545
729,Jared Walsh,FA,1B,1B,-38.5,13,31,28,3,1,3,0,0,5,3,1,0,9,12,3,0,0.190,0.260,0.325,0.585,0,665120
730,Osleivis Basabe,SF,SS,SS,-38.5,11,26,24,3,0,2,0,0,6,4,1,0,8,5,1,0,0.234,0.281,0.337,0.618,0,678545
731,Max Ferguson,BOS,2B,2B,-38.5,11,26,23,3,0,2,1,0,5,3,1,0,7,7,3,0,0.205,0.283,0.306,0.589,0,681132
732,Clark Elliott,ATH,OF,OF,-38.5,11,26,22,3,1,2,0,0,5,3,1,0,7,7,3,0,0.210,0.315,0.322,0.638,0,686499
733,Joshua Baez,STL,OF,OF,-38.5,8,17,15,2,1,2,1,0,3,2,1,0,6,5,1,0,0.225,0.292,0.375,0.668,2,695491
734,Henry Bolte,ATH,OF,OF,-38.5,8,18,16,2,0,2,1,0,4,3,1,0,6,6,2,0,0.235,0.305,0.367,0.672,0,703607
735,Riley Unroe,HOU,2B,2B,-38.6,11,26,23,3,0,2,1,0,5,3,1,0,7,7,3,0,0.209,0.291,0.307,0.598,0,624523
736,Edward Olivares,TB,OF,OF,-38.6,8,18,16,2,1,2,0,0,4,3,1,0,6,4,1,0,0.234,0.298,0.376,0.674,0,658668
737,Seth Brown,NYY,OF,1B/OF,-38.6,8,17,15,2,1,2,0,0,3,2,1,0,6,5,1,0,0.225,0.290,0.402,0.692,0,664913
738,Drew Waters,KC,OF,OF,-38.6,8,18,16,2,0,2,1,0,4,3,1,0,6,5,1,0,0.235,0.299,0.374,0.673,0,671221
739,Johnny Olmstead,MIA,SS,SS,-38.6,11,26,23,3,0,2,1,0,5,3,1,0,7,6,2,0,0.205,0.271,0.310,0.580,0,675394
740,Brewer Hicklen,ATL,OF,OF,-38.6,8,18,16,2,1,2,1,0,3,2,1,0,6,6,2,0,0.208,0.287,0.355,0.642,0,676551
741,Ronny Simon,PIT,OF,2B/OF,-38.6,8,17,15,2,0,2,1,0,4,3,1,0,6,4,1,0,0.247,0.313,0.364,0.677,0,682927
742,Enrique Bradfield Jr.,BAL,OF,OF,-38.6,8,17,15,2,0,2,1,0,3,2,1,0,5,4,2,0,0.225,0.300,0.332,0.632,0,690961
743,Ethan Murray,MIL,SS,SS,-38.6,15,35,31,3,1,3,1,0,6,4,1,0,9,11,3,0,0.192,0.265,0.288,0.554,0,696140
744,Anderdson Rojas,ARI,OF,OF,-38.6,11,27,25,3,0,2,1,0,6,4,1,0,8,5,2,0,0.226,0.282,0.309,0.592,0,699232
745,Brock Rodden,SEA,2B,2B,-38.6,11,26,24,3,0,2,1,0,5,4,1,0,8,8,2,0,0.215,0.272,0.315,0.587,0,801126
746,Pablo Reyes,SD,OF,2B/3B/ OF,-38.7,8,18,16,2,0,2,0,0,4,3,1,0,6,4,2,0,0.233,0.306,0.354,0.661,0,622569
747,Juan Yepez,TOR,1B,1B,-38.7,8,17,15,2,1,2,0,0,4,2,1,0,6,3,1,0,0.238,0.302,0.398,0.699,0,660766
748,Luken Baker,ARI,DH,DH,-38.7,23,58,51,7,2,7,0,0,11,6,2,0,19,17,6,0,0.211,0.299,0.376,0.676,0,663609
749,Estevan Florial,FA,OF,OF,-38.7,7,16,14,2,1,2,1,0,3,2,1,0,5,5,2,0,0.223,0.300,0.377,0.677,0,664314
750,Michael Toglia,CIN,1B,1B,-38.7,8,18,16,2,1,2,0,0,3,2,1,0,6,6,2,0,0.205,0.289,0.391,0.680,0,669911
751,Warming Bernabel,WSH,1B,1B,-38.7,8,18,17,2,0,2,0,0,4,3,1,0,6,3,1,0,0.248,0.289,0.377,0.666,0,682653
752,Daniel Vazquez,KC,SS,SS,-38.7,11,27,25,3,0,2,1,0,6,4,1,0,7,6,2,0,0.223,0.284,0.294,0.578,0,694187
753,Jaison Chourio,CLE,OF,OF,-38.7,11,27,23,3,0,2,1,0,5,4,1,0,7,7,3,0,0.200,0.299,0.277,0.576,0,702693
754,Abraham Toro,KC,1B,1B/3B,-38.8,8,17,15,2,0,2,0,0,4,3,1,0,6,4,1,0,0.238,0.299,0.369,0.668,0,647351
755,Cole Tucker,FA,3B,3B,-38.8,13,30,27,3,0,2,0,0,6,4,1,0,8,8,3,0,0.206,0.279,0.293,0.572,0,657061
756,Oscar Gonzalez,FA,OF,OF,-38.8,7,16,15,2,0,2,0,0,4,3,1,0,6,4,1,0,0.248,0.281,0.396,0.676,0,660757
757,Corey Julks,DET,OF,OF,-38.8,8,17,15,2,0,2,0,0,4,2,1,0,6,4,1,0,0.229,0.296,0.360,0.656,0,667452
758,Gage Workman,DET,3B,3B,-38.8,8,17,15,2,0,2,1,0,3,2,1,0,5,6,1,0,0.213,0.281,0.353,0.634,0,669398
759,Tim Elko,CHW,1B,1B,-38.8,8,17,16,2,1,2,0,0,4,2,1,0,6,6,1,0,0.230,0.276,0.392,0.668,0,671284
760,Ji Hwan Bae,NYM,OF,OF,-38.8,8,17,15,2,0,2,1,0,4,3,1,0,5,4,2,0,0.238,0.310,0.332,0.642,0,678225
761,DaShawn Keirsey Jr.,ATL,OF,OF,-38.8,8,17,16,2,0,2,1,0,4,2,1,0,5,5,1,0,0.223,0.277,0.338,0.616,0,680577
762,Drew Avans,COL,OF,OF,-38.8,8,17,15,2,0,2,1,0,4,3,1,0,5,4,2,0,0.237,0.311,0.333,0.644,0,682183
763,Brody Moore,STL,SS,SS,-38.8,11,26,24,2,0,2,1,0,5,4,1,0,7,6,2,0,0.219,0.268,0.287,0.555,0,690914
764,Cesar Prieto,STL,2B,2B,-38.8,8,18,17,2,0,2,0,0,4,3,1,0,6,3,1,0,0.251,0.293,0.366,0.659,0,693409
765,Esmerlyn Valdez,PIT,OF,OF,-38.8,8,18,16,2,1,2,0,0,4,2,1,0,6,5,2,0,0.229,0.308,0.381,0.688,0,699013
766,Jadher Areinamo,TB,SS,SS,-38.8,8,18,17,2,0,2,0,0,4,3,1,0,6,3,1,0,0.240,0.286,0.358,0.644,0,699130
767,Max Clark,DET,OF,OF,-38.8,8,18,16,2,0,2,0,0,4,3,1,0,6,4,2,0,0.236,0.324,0.350,0.674,0,703601
768,Jack Pineda,KC,SS,SS,-38.8,11,26,24,3,0,2,0,0,5,4,1,0,7,6,2,0,0.218,0.280,0.303,0.583,0,801442
769,Nate Furman,SF,2B,2B,-38.8,8,17,15,2,0,2,0,0,4,3,1,0,5,3,2,0,0.253,0.340,0.357,0.697,0,801501
770,Jesse Winker,FA,DH,OF,-38.9,18,46,38,6,1,5,1,0,9,6,2,0,15,10,7,1,0.242,0.359,0.390,0.748,0,13590
771,Hunter Renfroe,FA,OF,OF,-38.9,7,15,13,2,1,2,0,0,3,2,1,0,5,3,1,0,0.230,0.299,0.394,0.693,0,15464
772,Joey Meneses,ATH,1B,1B,-38.9,8,17,16,2,0,2,0,0,4,3,1,0,6,3,1,0,0.249,0.300,0.383,0.682,0,608841
773,Joshua Palacios,FA,OF,OF,-38.9,7,15,13,2,0,2,0,0,3,2,1,0,5,4,1,0,0.237,0.308,0.374,0.682,0,641943
774,Jose Siri,LAA,OF,OF,-38.9,7,16,15,2,1,2,0,0,3,2,1,0,5,6,1,0,0.205,0.267,0.375,0.642,0,642350
775,Bryan De La Cruz,PHI,OF,OF,-38.9,8,18,17,2,1,2,0,0,4,3,1,0,6,5,1,0,0.230,0.284,0.374,0.658,0,650559
776,Sam Hilliard,FA,OF,OF,-38.9,7,15,13,2,1,2,0,0,3,2,1,0,5,5,1,0,0.220,0.294,0.391,0.685,0,656541
777,Daz Cameron,FA,OF,OF,-38.9,7,15,14,2,0,2,0,0,3,2,1,0,5,4,1,0,0.230,0.296,0.388,0.684,0,663662
778,Zach DeLoach,CHW,OF,OF,-38.9,8,18,16,2,0,2,0,0,4,2,1,0,6,6,2,0,0.217,0.292,0.349,0.641,0,676113
779,Ryan Fitzgerald,LAD,SS,2B/SS,-38.9,8,17,15,2,0,2,0,0,4,2,1,0,6,4,1,0,0.228,0.291,0.370,0.661,0,680837
780,Vinny Capra,BOS,3B,SS/3B,-38.9,8,17,15,2,0,2,0,0,4,2,1,0,5,4,2,0,0.233,0.311,0.344,0.655,0,681962
781,Tyler Callihan,PIT,OF,OF,-38.9,8,17,15,2,0,2,0,0,4,2,1,0,5,4,1,0,0.225,0.286,0.335,0.622,0,682997
782,Andrew Pinckney,WSH,OF,OF,-38.9,8,17,16,2,0,2,1,0,3,3,1,0,5,6,1,0,0.222,0.278,0.337,0.616,0,687605
783,Justice Bigbie,DET,OF,OF,-38.9,8,17,15,2,0,2,0,0,4,3,1,0,5,3,1,0,0.245,0.305,0.347,0.652,0,694425
784,Juan Matheus,MIA,SS,SS,-38.9,11,26,23,2,0,2,1,0,5,4,1,0,7,6,2,0,0.203,0.270,0.280,0.550,0,801276
785,Brandon Drury,KC,2B,2B,-39.0,8,17,15,2,0,2,0,0,3,2,1,0,6,4,1,0,0.222,0.286,0.354,0.640,0,11615
786,J.D. Davis,FA,1B,1B/3B,-39.0,7,15,13,2,0,2,0,0,3,2,1,0,5,4,1,0,0.226,0.300,0.366,0.667,0,16219
787,Forrest Wall,FA,OF,OF,-39.0,7,15,13,2,0,1,1,0,3,2,1,0,4,4,1,0,0.232,0.304,0.330,0.634,0,657088
788,Elehuris Montero,FA,1B,1B,-39.0,7,16,15,2,1,2,0,0,3,2,1,0,6,4,1,0,0.233,0.289,0.389,0.678,0,660707
789,Jesus Bastidas,MIA,SS,SS,-39.0,8,17,15,2,0,2,0,0,3,2,1,0,5,5,1,0,0.212,0.277,0.332,0.609,0,665846
790,Aaron Schunk,ATL,SS,SS,-39.0,8,17,16,2,0,2,0,0,4,3,1,0,6,4,1,0,0.232,0.276,0.347,0.622,0,668845
791,Nick Senzel,LAD,3B,3B,-39.0,8,18,16,2,0,2,0,0,3,2,1,0,5,4,2,0,0.211,0.287,0.335,0.622,0,669222
792,Buddy Kennedy,SF,3B,3B,-39.0,8,17,15,2,0,2,0,0,4,3,1,0,5,3,2,0,0.237,0.322,0.346,0.667,0,671083
793,Darren Baker,CHW,2B,2B,-39.0,8,17,15,2,0,1,1,0,4,3,1,0,5,4,1,0,0.234,0.293,0.296,0.590,0,671117
794,Jose Barrero,BAL,OF,SS/OF,-39.0,8,17,15,2,0,2,0,0,3,2,1,0,5,5,1,0,0.203,0.265,0.332,0.598,0,676480
795,Liover Peguero,PHI,SS,1B/2B/SS,-39.0,8,17,16,2,0,2,0,0,4,2,1,0,5,4,1,0,0.222,0.277,0.344,0.621,0,678894
796,Jonah Bride,TEX,3B,1B/3B,-39.0,8,18,15,2,0,2,0,0,3,2,1,0,5,5,2,0,0.218,0.322,0.340,0.662,0,681146
797,Michael Stefanic,ATH,2B,2B,-39.0,8,16,14,2,0,1,0,0,4,3,1,0,5,2,2,0,0.259,0.347,0.341,0.688,0,683021
798,Oliver Dunn,CHW,3B,3B,-39.0,8,17,15,2,0,2,0,0,3,2,1,0,5,6,2,0,0.205,0.281,0.329,0.610,0,686554
799,Arjun Nimmala,TOR,SS,SS,-39.0,11,26,24,3,1,2,0,0,5,3,1,0,7,7,2,0,0.190,0.256,0.301,0.557,0,805796
800,Marshall Toole,TB,OF,OF,-39.0,11,26,23,2,0,2,1,0,4,3,1,0,6,8,2,0,0.186,0.257,0.270,0.527,0,828319
801,Kevin Pillar,FA,OF,OF,-39.1,7,14,13,2,0,2,0,0,3,2,1,0,5,3,1,0,0.223,0.276,0.358,0.634,0,12434
802,Mitch Haniger,FA,OF,OF,-39.1,7,15,13,2,1,2,0,0,3,2,1,0,5,4,1,0,0.214,0.289,0.358,0.647,0,14274
803,Tyler Wade,FA,OF,2B/3B/ OF,-39.1,8,17,15,2,0,1,1,0,3,3,1,0,4,4,2,0,0.222,0.295,0.293,0.588,0,15730
804,Kevin Newman,KC,3B,2B/SS/ 3B,-39.1,8,17,16,2,0,2,0,0,4,3,1,0,5,3,1,0,0.244,0.292,0.332,0.624,0,621028
805,Cavan Biggio,HOU,OF,1B/2B/ 3B/OF,-39.1,8,18,15,2,0,2,0,0,3,2,1,0,5,5,2,0,0.208,0.309,0.315,0.624,0,624415
806,Nick Gordon,FA,OF,OF,-39.1,7,15,14,2,0,2,0,0,3,2,1,0,5,4,1,0,0.229,0.272,0.352,0.624,0,624503
807,Diego Castillo,TEX,3B,3B,-39.1,7,16,14,2,0,2,0,0,3,2,1,0,5,3,2,0,0.225,0.305,0.336,0.641,0,660636
808,Eguy Rosario,FA,3B,3B,-39.1,7,15,14,2,0,2,0,0,3,2,1,0,5,4,1,0,0.215,0.280,0.367,0.647,0,666703
809,Nick Pratto,TEX,1B,1B,-39.1,8,17,15,2,1,2,0,0,3,2,1,0,5,6,2,0,0.201,0.276,0.352,0.628,0,668472
810,Austin Shenton,FA,1B,1B,-39.1,7,16,14,2,1,2,0,0,3,2,1,0,5,5,2,0,0.214,0.300,0.374,0.674,0,668853
811,Yunior Severino,FA,2B,2B,-39.1,7,16,14,2,0,2,0,0,3,2,1,0,5,5,1,0,0.215,0.288,0.357,0.645,0,670870
812,Jacob Hurtubise,MIL,OF,OF,-39.1,8,17,14,2,0,1,1,0,3,2,1,0,4,4,2,1,0.207,0.319,0.289,0.608,0,674441
813,Alika Williams,PIT,2B,2B,-39.1,8,17,15,2,0,2,0,0,4,3,1,0,5,3,1,0,0.239,0.295,0.337,0.632,0,675961
814,Jordyn Adams,MIL,OF,OF,-39.1,8,17,16,2,0,2,1,0,3,2,1,0,5,6,1,0,0.199,0.259,0.315,0.574,0,677941
815,Owen Miller,CHC,2B,2B,-39.1,8,18,17,2,0,2,0,0,4,3,1,0,6,4,1,0,0.233,0.286,0.334,0.619,0,680911
816,David Villar,FA,1B,1B,-39.1,7,15,13,2,0,2,0,0,3,2,1,0,5,5,2,0,0.210,0.295,0.357,0.651,0,681584
817,Marco Luciano,NYY,SS,SS,-39.1,8,17,15,2,1,2,0,0,3,2,1,0,5,6,2,0,0.199,0.286,0.341,0.627,0,682617
818,Jose Ramos,NYM,OF,OF,-39.1,8,17,15,2,1,2,0,0,3,2,1,0,5,6,1,0,0.199,0.269,0.342,0.611,0,682947
819,Brennan Milone,ATH,2B,2B,-39.1,8,17,15,2,0,2,0,0,3,2,1,0,5,5,2,0,0.218,0.295,0.348,0.643,0,686810
820,Alex Ramirez,NYM,OF,OF,-39.1,8,17,15,2,0,1,1,0,3,2,1,0,5,4,1,0,0.206,0.268,0.302,0.570,0,691267
821,Wilfred Veras,CHW,OF,OF,-39.1,8,17,16,2,0,2,0,0,3,2,1,0,5,5,1,0,0.215,0.264,0.341,0.606,0,691442
822,Luis Suisbel,SEA,3B,3B,-39.1,11,26,24,2,1,2,0,0,4,3,1,0,7,9,2,0,0.179,0.240,0.293,0.534,0,692044
823,Oscar Colas,FA,OF,OF,-39.1,7,16,15,2,0,2,0,0,3,2,1,0,5,4,1,0,0.217,0.277,0.346,0.623,0,693049
824,Tyler Gentry,DET,OF,OF,-39.1,8,17,15,2,0,2,0,0,3,2,1,0,5,5,2,0,0.211,0.286,0.341,0.626,0,694355
825,Frederick Bencosme,BAL,SS,SS,-39.1,8,17,15,2,0,2,0,0,3,2,1,0,5,3,1,0,0.216,0.276,0.320,0.596,0,695930
826,Trey Lipscomb,WSH,1B,1B,-39.1,8,17,16,2,0,2,0,0,4,3,1,0,5,4,1,0,0.227,0.272,0.334,0.606,0,702358
827,Yassel Soler,ARI,3B,3B,-39.1,11,26,24,2,1,2,0,0,5,3,1,0,7,7,1,0,0.195,0.245,0.294,0.540,0,807957
828,Albert Almora Jr.,FA,OF,OF,-39.2,7,15,14,2,0,1,0,0,3,2,1,0,5,3,1,0,0.235,0.285,0.341,0.625,0,14109
829,DJ Stewart,FA,OF,OF,-39.2,7,15,13,2,1,2,0,0,3,2,1,0,5,4,2,0,0.199,0.302,0.349,0.651,0,621466
830,Jamie Westbrook,FA,2B,2B,-39.2,7,15,13,2,0,1,0,0,3,2,1,0,5,3,1,0,0.227,0.301,0.340,0.641,0,642197
831,Sean Bouchard,FA,OF,1B/OF,-39.2,7,15,13,2,0,1,0,0,3,2,1,0,4,5,2,0,0.202,0.302,0.339,0.640,0,656248
832,Emmanuel Rivera,FA,3B,1B/3B,-39.2,7,15,14,2,0,2,0,0,3,2,1,0,5,3,1,0,0.238,0.301,0.352,0.653,0,656896
833,Bobby Dalbec,FA,1B,1B/3B,-39.2,7,15,13,2,1,2,0,0,3,2,1,0,5,6,1,0,0.200,0.273,0.355,0.628,0,666915
834,Armando Alvarez,FA,3B,3B,-39.2,7,15,14,2,0,2,0,0,3,2,1,0,5,4,1,0,0.223,0.284,0.364,0.648,0,669137
835,Jacob Amaya,ARI,SS,SS,-39.2,8,17,15,2,0,2,0,0,3,2,1,0,5,5,2,0,0.211,0.286,0.318,0.604,0,676070
836,Ryan Noda,BAL,1B,1B/OF,-39.2,8,17,14,2,1,2,0,0,3,2,1,0,5,6,3,0,0.185,0.316,0.332,0.647,0,676116
837,Bligh Madris,STL,1B,1B,-39.2,8,18,16,2,0,2,0,0,3,2,1,0,5,5,2,0,0.202,0.275,0.325,0.600,0,676632
838,Jud Fabian,BAL,OF,OF,-39.2,8,17,15,2,1,2,0,0,3,2,1,0,5,6,2,0,0.186,0.278,0.323,0.601,0,682983
839,Carlos Mendoza,TOR,2B,2B,-39.2,8,17,15,2,0,1,0,0,3,3,1,0,4,3,2,0,0.223,0.318,0.300,0.618,0,685332
840,Tucker Flint,LAA,OF,OF,-39.2,8,17,15,2,0,2,0,0,3,2,1,0,5,6,2,0,0.193,0.279,0.323,0.602,0,687272
841,Josh Kasevich,TOR,SS,SS,-39.2,8,17,15,2,0,1,0,0,4,3,1,0,5,3,1,0,0.237,0.295,0.317,0.613,0,688460
842,Tsung-Che Cheng,BOS,SS,SS,-39.2,8,17,15,2,0,1,1,0,3,2,1,0,5,4,2,0,0.210,0.286,0.309,0.595,0,691907
843,Cole Carrigg,COL,OF,OF,-39.2,4,9,8,1,0,1,1,0,2,1,0,0,3,2,1,0,0.256,0.310,0.399,0.709,0,694249
844,Riley Tirotta,TOR,3B,3B,-39.2,8,17,15,2,0,2,0,0,3,2,1,0,5,6,2,0,0.202,0.282,0.325,0.607,0,694661
845,Taylor Young,LAD,2B,2B,-39.2,8,17,15,2,0,1,1,0,3,2,1,0,4,4,2,0,0.211,0.295,0.285,0.580,0,805891
846,Chase Jaworsky,MIA,SS,SS,-39.2,11,27,24,2,0,2,1,0,4,3,1,0,6,8,2,0,0.175,0.244,0.243,0.487,0,814172
847,Cristian Pache,NYM,OF,OF,-39.3,8,17,15,2,0,1,0,0,3,2,1,0,5,5,1,0,0.203,0.272,0.306,0.579,0,665506
848,Alan Trejo,FA,SS,SS,-39.3,7,15,14,2,0,2,0,0,3,2,1,0,5,4,1,0,0.217,0.266,0.338,0.604,0,676701
849,Clay Dungan,SD,2B,2B,-39.3,8,17,15,2,0,1,0,0,3,2,1,0,5,5,2,0,0.204,0.283,0.305,0.588,0,687867
850,Sam Brown,WSH,1B,1B,-39.3,8,17,15,2,0,2,0,0,3,2,1,0,5,4,2,0,0.221,0.297,0.323,0.619,0,694848
851,Terrell Tatum,FA,OF,OF,-39.3,7,16,14,2,0,1,1,0,3,2,1,0,4,5,2,0,0.201,0.287,0.296,0.583,0,695299
852,Luis Castillo,MIL,OF,OF,-39.3,11,27,24,2,1,2,0,0,4,3,1,0,7,9,2,0,0.167,0.236,0.270,0.507,0,699127
853,Randy De Jesus,LAA,OF,OF,-39.3,11,26,24,2,1,2,0,0,4,3,1,0,7,10,2,0,0.174,0.238,0.286,0.524,0,703194
854,Donovan Solano,FA,1B,1B,-39.3,7,15,14,2,0,1,0,0,3,3,1,0,5,3,1,0,0.249,0.310,0.349,0.659,0,8623
855,Sergio Alcantara,PHI,3B,3B,-39.4,8,17,15,2,0,1,0,0,3,2,1,0,5,4,2,0,0.213,0.306,0.306,0.612,0,642727
856,Luis De Los Santos,FA,3B,3B,-39.4,7,15,14,2,0,1,0,0,3,2,1,0,4,4,1,0,0.210,0.267,0.319,0.586,0,665782
857,Grae Kessinger,NYM,3B,3B,-39.4,8,17,15,2,0,1,0,0,3,2,1,0,4,5,2,0,0.197,0.283,0.296,0.578,0,666197
858,Matthew Batten,ATL,1B,1B,-39.4,8,17,15,2,0,1,0,0,3,2,1,0,5,5,1,0,0.203,0.268,0.295,0.563,0,676946
859,Jonathan Ornelas,NYY,SS,SS,-39.4,8,17,15,2,0,1,0,0,3,2,1,0,5,5,1,0,0.204,0.269,0.293,0.562,0,680716
860,Luke Ritter,DET,2B,2B,-39.4,8,17,15,2,0,2,0,0,3,2,1,0,5,6,2,0,0.192,0.274,0.311,0.585,0,682239
861,Pedro Ramirez,CHC,2B,2B,-39.4,4,9,8,1,0,1,0,0,2,2,0,0,3,2,1,0,0.247,0.303,0.354,0.657,0,699393
862,Reed Trimble,BAL,OF,OF,-39.4,4,9,8,1,0,1,0,0,2,1,0,0,3,2,1,0,0.224,0.290,0.372,0.663,0,701655
863,Juan Baez,MIL,SS,SS,-39.4,11,26,24,2,0,2,0,0,5,4,1,0,6,5,2,0,0.198,0.261,0.259,0.520,0,800345
864,Patrick Clohisy,ATL,OF,OF,-39.4,4,9,8,1,0,1,1,0,2,1,0,0,3,2,1,0,0.232,0.289,0.330,0.618,0,802117
865,Jack Lopez,FA,2B,2B,-39.5,7,15,14,1,0,1,0,0,3,2,1,0,4,4,1,0,0.209,0.248,0.308,0.556,0,605346
866,Luis Guillorme,FA,2B,2B,-39.5,7,14,12,2,0,1,0,0,3,2,1,0,4,3,2,0,0.222,0.315,0.294,0.609,0,641645
867,Sam Petersen,WSH,OF,OF,-39.5,4,9,8,1,0,1,0,0,2,1,0,0,3,3,1,0,0.213,0.291,0.349,0.640,0,695763
